	GFP1	GFP2	GFP3	GFP4	GFP5	GFP6	GFP7	GFP8	GFP9	GFP10	GFP11
CTDSPL	0.495375986	0.490334645	0.509575906	0.449386531	0.498494085	0.432916844	0.514753892	0.488101177	0.418799187	0.378200585	0.473996873
CTF1	0.019531377	0.102831239	0.021649432	0.03549121	0.051607092	0.072371139	0.089457583	0.042163529	-0.043462834	0.080199586	0.014874761
CTGF	2.519091434	2.603122287	2.526084734	2.828017712	2.852743665	2.805697421	2.705988679	2.512916009	2.590412338	2.750671658	2.871652948
CTH	0.032684123	0.047214879	-0.021663813	0.087753201	0.024638782	0.098824389	0.094801731	0.075869828	0.079721108	0.017025805	0.116424563
CTIF	0.398794866	0.332648771	0.343605184	0.375902818	0.383043956	0.261438582	0.34658752	0.272557001	0.236557014	0.223931622	0.423126894
CTLA4	-0.160029605	-0.159138509	-0.06957844	-0.213642566	-0.171827552	-0.075970839	-0.023486812	-0.150432706	-0.195077883	-0.129848198	-0.237936731
CTNNA1	2.125609911	2.175665882	2.169736558	2.121701201	2.028820634	2.039968947	2.052507755	2.115220169	2.08955679	2.159824805	1.945055054
CTNNA2	-0.150749251	-0.114662981	-0.11027632	-0.152772497	-0.100879597	-0.103546069	-0.120928961	-0.141195334	-0.118976312	-0.144325628	-0.145736591
CTNNA3	-0.151520921	-0.172345881	-0.07369805	-0.053457286	-0.162482026	-0.111052706	-0.082850368	-0.111777598	-0.182586311	-0.179409185	-0.198559111
CTNNAL1	0.904820221	0.867402802	0.866051916	0.871231993	0.894702415	0.806460828	1.004759845	0.990987652	1.01907342	0.959150215	0.940495445
CTNNB1	1.589559035	1.58934265	1.673655901	1.789915641	1.716053244	1.499347322	1.648864766	1.507060518	1.595422063	1.546298259	1.77509634
CTNNBIP1	0.312754419	0.322673362	0.318341359	0.287959264	0.321549935	0.164340059	0.305481237	0.309734725	0.277006815	0.303363906	0.269126914
CTNNBL1	0.389194527	0.261681115	0.256666669	0.309630853	0.18661849	0.303812953	0.288437288	0.26098125	0.203274936	0.269194616	0.230070252
CTNND1	1.396546828	1.287615035	1.513548409	1.303695077	1.360864189	1.228845285	1.421128645	1.287340557	1.252493479	1.279079654	1.399705564
CTNND2	-0.115210285	-0.04840325	-0.120088045	-0.153413215	-0.110389167	-0.096199838	-0.15692882	-0.136544926	-0.12971411	-0.116397768	-0.167919419
CTNS	0.288104035	0.315123326	0.347580507	0.317341671	0.336492733	0.415378144	0.365296117	0.25784645	0.273447256	0.302739366	0.393621489
CTPS	0.373009882	0.472996073	0.433932821	0.338205402	0.485486853	0.453735777	0.436011175	0.475926909	0.393958343	0.457324433	0.655090665
CTPS2	0.001698517	-0.020001133	0.113838922	-0.163934579	-0.057162552	-0.116008442	-0.026381043	-0.051915098	0.02016792	-0.203544222	-0.062731144
CTR9	0.622376861	0.637591159	0.560428188	0.614510778	0.579117715	0.602268012	0.634834233	0.508933032	0.648290493	0.3993042	0.68443885
CTRB2	-0.094648758	-0.003129507	-0.13536677	-0.056148884	-0.168022025	-0.135006676	-0.049875709	-0.205387037	-0.069832572	-0.062250209	-0.105058597
CTRC	-0.08965977	0.096686371	-0.095190254	-0.029736635	-0.121583686	-0.066276871	-0.033373835	-0.122098202	-0.084226499	-0.041125346	-0.095556025
CTRL	-0.154921329	-0.140483258	-0.056220928	-0.123919802	-0.090166004	-0.102017191	-0.071020958	-0.125587561	-0.134679864	-0.10583917	-0.108066882
CTSA	2.014180645	2.064504206	2.082689345	1.987719908	2.040125072	2.078506306	2.017152235	1.911138028	1.893383876	1.966945693	1.978478745
CTSB	3.388232492	3.34347434	3.434484523	3.530559547	3.525866099	3.529131491	3.483006243	3.510260355	3.612228557	3.661765151	3.536940795
CTSC	3.428385761	3.352072928	3.468018015	3.618140698	3.421435435	3.408737739	3.525817924	3.54460393	3.827849574	3.728702386	3.563153293
CTSD	1.288257236	1.235069262	1.454967908	1.352237163	1.31895876	1.38850349	1.291680207	1.205906808	1.147307848	1.156751216	1.239673365
CTSE	-0.135601319	-0.189886988	-0.150434773	-0.229687041	-0.174601858	-0.199442746	-0.187564309	-0.189061595	-0.117132109	-0.267130199	-0.093411104
CTSF	0.247460321	0.160223498	0.184639819	0.163763573	0.14362022	0.21672006	0.207107186	0.207557693	0.2053677	0.189094057	0.247973506
CTSG	-0.085639951	-0.081580887	-0.101535041	-0.006754347	-0.125696671	-0.075274002	-0.012801139	-0.119734478	-0.085909182	-0.093038668	-0.135892494
CTSH	0.836411838	0.679826625	0.753079482	0.615407227	0.750866422	0.819767086	0.758616129	0.781878826	0.597640725	0.60813844	0.714355056
CTSK	0.175339735	0.149831687	0.110043895	0.094484856	0.130762522	0.10916487	0.221050131	0.17016598	0.264970602	0.132973546	0.25301083
CTSL1	1.046105083	0.980427682	0.878054403	0.968375437	0.968134062	1.060361169	1.028290836	0.800781008	0.977510747	0.885750819	0.975485561
CTSL2	2.682530001	2.866706818	2.869689643	2.878500909	3.013144284	2.728228375	2.930258423	2.897010758	3.332388669	3.288256094	3.156243831
CTSO	0.245681047	0.230378393	0.054758495	0.186870718	0.134229066	0.124429042	0.238306876	0.228101341	0.284174935	0.134039491	0.222989598
CTSS	-0.185559648	-0.140653441	-0.15227375	-0.219161736	-0.138411577	-0.177317347	-0.132290126	-0.183786268	-0.196774161	-0.103519954	-0.188475741
CTSW	-0.337585986	-0.1518253	-0.226598854	-0.221972999	-0.276265842	-0.269409528	-0.239939335	-0.230668689	-0.221862815	-0.280959742	-0.175710935
CTSZ	0.122939825	0.15289258	0.164423929	0.175054116	0.180722613	0.17720244	0.1913053	0.177162598	0.198043748	0.067161299	0.182218672
CTTN	0.905737238	0.901122603	0.990737562	0.909983877	1.046436637	0.952628565	0.882939824	0.777122017	0.930052348	0.914856547	1.084096267
CUBN	-0.130741249	-0.076402878	-0.05855949	-0.148840468	-0.056659606	-0.080018138	-0.066415415	-0.130492274	-0.115307727	-0.176753364	-0.065027337
CUEDC1	-0.204603786	-0.167596818	-0.171363691	-0.073267325	-0.111102491	-0.1347802	-0.201937376	-0.087272872	-0.175442917	-0.06598351	-0.187915736
CUEDC2	1.13167487	1.105566241	0.959980648	1.025418517	1.046607206	0.966702721	1.02482381	1.13428895	1.099784825	0.912959523	1.060295751
CUL1	1.046239657	0.967483486	0.776975656	0.648145203	1.059944885	0.932989467	1.026573854	1.10118496	1.035795714	0.999909316	1.116773146
CUL2	0.802374229	0.731732603	0.817032389	0.701613113	0.740843974	0.865196541	0.793507621	0.824817031	0.877259947	0.701269437	0.82264467
CUL3	0.485019724	0.556624117	0.494282405	0.521919095	0.479247255	0.462184809	0.436361262	0.449076458	0.519860489	0.441266533	0.51014525
CUL4A	0.462445936	0.43326516	0.451387454	0.382626625	0.519549971	0.37568868	0.38927257	0.431811389	0.403615645	0.470657473	0.494777269
CUL4B	0.255019869	0.254455841	0.260506828	0.205627381	0.266773381	0.299079451	0.272742861	0.259340672	0.277499884	0.23958895	0.316374077
CUL5	0.422321577	0.429501939	0.445663086	0.447895322	0.472449594	0.41162929	0.422962147	0.382955383	0.420578857	0.416804431	0.57773879
CUL7	0.348897328	0.408584038	0.456829302	0.429718264	0.380562597	0.402558125	0.326097111	0.310762859	0.300666134	0.285667576	0.449436172
CUL9	0.442822608	0.382313563	0.541283712	0.521186607	0.580870314	0.370973925	0.440991372	0.345206782	0.231866664	0.336474822	0.439606523
CUTA	1.825268957	1.813609368	1.776139312	1.760157625	1.689809918	1.800180607	1.810520371	1.866577003	1.782991933	1.78400094	1.726552023
CUTC	0.326407558	0.214502388	0.283876026	0.278600737	0.38274538	0.287444788	0.305892929	0.292647569	0.23913438	0.200907235	0.3668996
CUX1	0.381954436	0.388958754	0.407372149	0.410631442	0.367551417	0.303773565	0.360376689	0.306588225	0.238770221	0.241126994	0.350141615
CUX2	-0.115569563	0.024425859	-0.120392237	-0.04710884	-0.212976272	-0.15734811	-0.171709527	-0.141960571	-0.206020271	-0.153744995	-0.133896034
CUZD1	-0.077546188	-0.086384023	-0.168940659	-0.18352572	-0.163027171	-0.079253934	-0.135309891	-0.101191471	-0.176615423	-0.096758613	-0.092513829
CWC25	0.245686371	0.25262832	0.263941396	0.334799431	0.298299218	0.315221579	0.2130832	0.222929245	0.221492651	0.249571807	0.289560599
CWF19L1	0.246713713	0.209962916	0.207892409	0.243161021	0.238767978	0.125023378	0.226381067	0.237502068	0.190941811	0.143361704	0.226794555
CWH43	0.000818824	0.138927911	-0.003622811	-0.041562807	0.023542914	0.040628742	0.027404099	0.015374079	0.067112992	-0.082725004	0.106642366
CX3CL1	0.455537862	0.649103522	0.409827209	0.542897061	0.611708314	0.420496347	0.476580898	0.336965634	0.339728589	0.334664665	0.548925305
CX3CR1	-0.216460543	-0.178857859	-0.235180163	-0.218217219	-0.175802476	-0.154649214	-0.198012934	-0.284885597	-0.191605448	-0.203267638	-0.171339363
CXADR	1.993544698	2.08892107	2.212106228	1.962004662	1.837256908	2.029989958	2.22294426	2.151527882	2.167202234	1.96064651	2.068419218
CXCL1	0.91481426	0.883410465	0.824806364	0.903061701	1.175808211	0.85015755	0.890357428	0.73636982	0.887463686	0.906431238	1.341640761
CXCL10	-0.133419684	-0.050769604	-0.103998005	-0.134070021	-0.062542718	-0.04372553	-0.051121267	-0.089468346	-0.052061304	-0.082269482	-0.067611598
CXCL11	-0.242073693	-0.208749694	-0.249403822	-0.223050959	-0.245851839	-0.24562369	-0.225562483	-0.213948379	-0.237180071	-0.225402253	-0.233348598
CXCL12	-0.166899346	-0.213591154	-0.227894791	-0.199658985	-0.254078953	-0.209489934	-0.168098368	-0.253643016	-0.284747731	-0.287311684	-0.259703809
CXCL13	-0.112046393	-0.019418095	-0.016427439	-0.072734581	-0.117712973	-0.135319637	-0.096435314	-0.098607103	-0.069546161	-0.120480681	-0.083386088
CXCL14	2.161685041	2.096266116	1.884901967	1.455429869	1.756403565	1.383887495	2.257555706	2.204173122	2.127388852	1.29921983	1.729355131
CXCL2	1.294404117	1.179737263	1.363804526	1.494444751	1.515513606	1.313663923	1.322276556	1.330147028	1.383708444	1.73231654	1.765173515
CXCL3	0.446592532	0.579982442	0.482784186	0.541446847	0.602792149	0.470534453	0.425700765	0.453316768	0.480632702	0.637777846	0.753703697
CXCL5	-0.021518858	-0.02234152	0.012897415	0.001710242	0.005222589	0.002102723	-0.011755866	-0.046508522	0.03480178	0.0695699	0.018520889
CXCL6	-0.112977369	-0.072230735	-0.075639924	-0.143386073	-0.120117926	-0.113632357	-0.154249925	-0.162307476	-0.170911835	-0.194143851	-0.119643384
CXCL9	-0.118994876	-0.155810194	-0.143111109	-0.109540695	-0.153572886	-0.155013163	-0.165335409	-0.190859894	-0.155853978	-0.194671977	-0.260899648
CXCR1	-0.205613573	0.035665974	-0.168252741	-0.130896982	-0.196184754	-0.155703976	-0.199185533	-0.146101451	-0.187243786	-0.216675591	-0.209999276
CXCR2	-0.133227511	-0.085396197	-0.096596092	-0.163746249	-0.105432197	-0.139014608	-0.171945257	-0.101868539	-0.229201989	-0.194254764	-0.149903857
CXCR3	-0.057953887	-0.111472542	-0.110876977	-0.016907786	-0.057465774	-0.078586592	-0.044550459	-0.096726865	-0.132212027	-0.081414968	-0.121957472
CXCR4	-0.201240026	-0.191009588	-0.203677155	-0.224162587	-0.203937376	-0.229389518	-0.155623906	-0.234497711	-0.237201381	-0.265249184	-0.232514919
CXCR5	-0.110552631	-0.107144902	-0.152416916	-0.14110186	-0.13914663	-0.130261407	-0.136352431	-0.087889523	-0.078287354	-0.03984704	-0.171556943
CXCR6	-0.120914311	0.056950194	-0.15681449	-0.10433002	-0.117690818	-0.092184305	-0.105185364	-0.162029866	-0.143681693	-0.15813134	-0.143397506
CXCR7	1.185896075	1.150522918	0.944641047	1.086720231	1.029135416	1.143207732	1.217729261	1.203367843	1.304112653	1.271129568	1.371249894
CXorf1	-0.145389381	-0.207645012	-0.163170943	-0.214659322	-0.227323882	-0.158114222	-0.183184124	-0.215660037	-0.236055698	-0.273752222	-0.295786788
CXorf21	-0.111085576	-0.113058092	-0.093119638	-0.123739378	-0.039461887	-0.011725183	-0.099617777	-0.125351086	-0.122738251	-0.205554227	-0.191295364
CXorf27	-0.290491354	-0.348699442	-0.318560453	-0.345901476	-0.30126337	-0.307222163	-0.30554058	-0.29801874	-0.227020945	-0.222437799	-0.261368426
CXorf36	-0.145130672	-0.1455696	-0.170270889	-0.169844343	-0.128829618	-0.111088863	-0.161822091	-0.131488943	-0.146557371	-0.118918142	-0.161466574
CXorf40B	0.65456599	1.370502472	0.538041353	0.824212193	0.64820832	0.63131541	0.745340407	0.787017286	0.582381189	0.850374997	0.754288554
CXorf56	0.123063047	0.146627283	0.049491239	0.047759772	0.142370731	0.062983692	0.046462249	0.12878581	0.094885693	0.061481217	0.196936166
CXorf57	-0.164237642	-0.095606233	-0.13462619	-0.143061482	-0.17863364	-0.056079038	-0.138235782	-0.100379682	-0.165863139	-0.138121066	-0.110894597
CXXC1	0.865791172	0.857537106	0.868950953	0.694081412	0.93574678	0.777793716	0.82988904	0.70051116	0.627264567	0.681207283	0.822169913
CXXC4	-0.133309398	-0.191845942	-0.106261758	-0.042954457	-0.197517978	-0.077160445	-0.073534324	-0.084193596	-0.225600193	-0.036433753	-0.207859103
CYB561	0.511267463	0.5467699	0.508011554	0.57243296	0.58834935	0.56125956	0.599400962	0.448285879	0.456128738	0.468977361	0.576562779
CYB561D2	0.181736743	0.193875426	0.169807917	0.260001228	0.128357225	0.190124506	0.209556801	0.177540679	0.102778803	0.13317226	0.123978761
CYB5A	0.227398697	0.316526862	0.271128118	0.293274525	0.17812106	0.176051595	0.301723417	0.260155566	0.174516567	0.112921387	0.224710553
CYB5B	0.576849044	0.59218526	0.526390832	0.525215766	0.50629503	0.539352456	0.515661149	0.565919025	0.640036299	0.532870434	0.556549837
CYB5R1	1.9092445	2.065545887	1.882181026	1.82555978	2.028782308	1.957305476	2.074397817	2.021529794	2.158530541	1.938794971	2.192744166
CYB5R2	0.80060393	0.801926095	0.952762604	0.932902512	0.969613774	0.751695665	0.766574456	0.896755253	0.670216172	0.806857891	0.924697182
CYB5R3	2.502883107	2.43802768	2.465912387	2.289159358	2.426172108	2.419011354	2.528331325	2.48010999	2.504838556	2.336291164	2.383655265
CYB5R4	0.214965214	0.269720774	0.281677888	0.251892679	0.231282017	0.248777735	0.273771544	0.280731427	0.263475224	0.188310582	0.342158336
CYBA	0.91697596	0.997419469	0.966437262	0.951936118	0.652560037	0.820293746	0.848786458	0.862969047	0.92471615	0.935136099	0.895932317
CYBB	-0.144283611	-0.109898956	-0.169215264	-0.142525417	-0.115699043	-0.164525196	-0.129821549	-0.15159494	-0.192655441	-0.13126199	-0.100313347
CYBRD1	0.940660186	1.177716434	0.781743715	0.835983742	0.805479676	1.147324737	0.882482398	1.000862062	1.026316099	0.884783585	0.86041892
CYC1	1.598390691	1.508508477	1.505262922	1.662973285	1.514835559	1.543162078	1.582398914	1.588993527	1.528249454	1.47909978	1.504025318
CYCS	3.133811712	3.282728195	2.432819843	3.024596214	2.90496707	3.172190905	3.139817476	1.823371649	2.101671934	2.071583986	2.297041178
CYFIP1	2.125166893	1.997134646	2.226663152	2.051270922	2.026402566	2.101689935	2.126716097	2.137642026	2.314595183	2.204004857	2.101080497
CYFIP2	-0.056848185	-0.051815737	-0.026945593	-0.028861974	-0.008098149	-0.015951037	-0.043975445	-0.046217489	-0.052280685	-0.087437245	0.003188753
CYHR1	0.012050928	0.005186173	0.018754874	0.068506447	-0.02488873	0.014351227	-0.014758356	0.034462773	0.014769336	0.02840219	0.033657725
CYLC1	-0.044382113	-0.038350612	-0.047341927	-0.084187616	-0.007934012	-0.054602828	-0.069803252	-0.105882354	-0.140171873	-0.115693471	-0.078875858
CYLC2	-0.263666999	-0.256245568	-0.323423739	-0.323242777	-0.307082739	-0.268746944	-0.319760105	-0.338565232	-0.3470513	-0.395917414	-0.387160069
CYLD	0.242695859	0.256340301	0.296386218	0.266758971	0.293332364	0.250407988	0.25827045	0.221451616	0.246702576	0.241894177	0.333695496
CYP11A1	-0.335817877	-0.279736007	-0.331143853	-0.273127066	-0.231044563	-0.201629759	-0.270540513	-0.221629713	-0.296114968	-0.298700487	-0.217659561
CYP11B1	-0.291070376	-0.169617753	-0.246008554	-0.106563937	-0.210686224	-0.199483395	-0.199891963	-0.199231336	-0.201526197	-0.19394268	-0.24666544
CYP11B2	0.122793009	0.08655287	0.111208565	0.124615086	0.095012309	0.132162421	0.069824381	0.154679508	0.07765629	0.023861153	-0.020338805
CYP17A1	0.053440627	0.049645374	-0.035539436	0.124624565	0.004814337	-0.001332351	-0.002921466	-0.060061718	-0.025910895	-0.098971729	-0.084928518
CYP19A1	-0.124283894	-0.07594486	-0.156280452	-0.141148812	-0.096176694	-0.103872671	-0.038092601	-0.1417643	-0.12564286	-0.164701305	-0.156943268
CYP1A1	0.021513184	0.055136145	0.18351528	0.11637035	0.154270313	0.207647431	0.109087973	0.10919723	-0.036823926	0.135719532	0.213143747
CYP1A2	-0.049147072	-0.126372948	-0.003257068	-0.022284719	0.001003467	0.048743475	-0.04185139	-0.022311109	-0.021227382	0.010613933	-0.045220505
CYP1B1	2.036143987	1.940685929	2.037124304	2.049157968	2.124819625	2.158884034	2.1008942	1.916815941	1.880653675	1.967517502	2.176744335
CYP20A1	0.207050786	0.20918503	0.172217335	0.256974037	0.259320585	0.230032376	0.154969439	0.147504784	0.182729642	0.237131429	0.350496715
CYP21A2	-0.29103151	-0.209792182	-0.211801201	-0.197945818	-0.088167362	-0.267027467	-0.122807406	-0.220586717	-0.329163492	-0.286215991	-0.269943327
CYP24A1	-0.007259297	-0.03774929	-0.040707158	-0.072105885	-0.027057426	-0.047843793	-0.008132978	-0.060812578	-0.075172326	-0.020319885	0.098493985
CYP26A1	-0.096098015	-0.126365695	-0.072167428	-0.143072321	-0.18135975	-0.158879088	-0.082923712	-0.100736632	-0.069487493	-0.0631943	-0.166170559
CYP26B1	-0.07932537	-0.046570407	-0.033032298	-0.050124516	-0.071187886	-0.01087921	0.013973136	-0.098505935	0.010399905	-0.061919385	-0.059280247
CYP27A1	0.159099672	0.172579603	0.235776265	0.168961338	0.152918423	0.20437278	0.265161055	0.168505959	0.203967537	0.094529517	0.243307573
CYP27B1	0.198299241	0.184275968	0.017419154	0.159620937	0.302248544	0.187079505	0.137099105	0.050072324	0.146776294	0.044935478	0.232726937
CYP2A13	0.339289867	0.31463426	0.311994867	0.379795903	0.290466058	0.424821739	0.31003155	0.300152201	0.268459876	0.183666778	0.202935267
CYP2A6	-0.004059586	-0.030643269	-0.062480631	-0.043545835	-0.077208564	-0.096769596	-0.028125882	-0.11089919	-0.12543054	-0.179973973	-0.140187615
CYP2A7	-0.337706327	0.82656759	-0.302904636	-0.289811671	-0.324475318	-0.344530851	-0.371953547	-0.160324067	-0.492917418	-0.237334907	-0.344292551
CYP2B6	-0.024603562	-0.149947354	-0.037032785	0.007552194	-0.04001587	-0.033168568	-0.137294136	-0.06139758	-0.036708882	-0.067575199	-0.102791417
CYP2B7P1	-0.138055404	-0.156454409	-0.149159413	-0.110952621	-0.128107408	-0.111809831	-0.163957505	-0.1751532	-0.228519291	-0.236611163	-0.141706298
CYP2C18	-0.158183106	-0.158712973	-0.151373581	-0.099350796	-0.196573209	-0.169362094	-0.128481666	-0.145207201	-0.188381256	-0.149347992	-0.124517747
CYP2C19	-0.28086558	-0.233900502	-0.190842599	-0.126229629	-0.214945793	-0.312153101	-0.309074551	-0.181540668	-0.378916234	-0.442441374	-0.31978038
CYP2C8	-0.215659998	-0.222927369	-0.227216239	-0.224685286	-0.218683477	-0.151453845	-0.194589878	-0.17032194	-0.224001768	-0.240556512	-0.212549057
CYP2C9	-0.170947534	-0.140258738	-0.125664631	-0.098499341	-0.140917708	-0.100930591	-0.140835289	-0.133149132	-0.156693125	-0.213286465	-0.087365318
CYP2E1	-0.142424031	-0.102757732	-0.148505136	-0.156599629	-0.120176512	-0.148970084	-0.154407338	-0.186191389	-0.163705694	-0.202503646	-0.140515086
CYP2J2	-0.163000499	-0.078796263	-0.082374622	-0.037675013	-0.103474185	-0.124722901	-0.075333665	-0.120439466	-0.050432395	-0.139053242	-0.055548294
CYP2W1	-0.174551402	-0.129596187	-0.184824901	-0.209555079	-0.170723721	-0.16051129	-0.188008591	-0.114775213	-0.147723277	-0.127898885	-0.16865046
CYP39A1	0.106419472	0.110461762	0.161598836	-0.004938837	0.092944297	0.125386257	0.193137321	0.177786636	0.079627519	0.022415211	0.228813065
CYP3A4	-0.064676006	-0.04166543	-0.077295393	-0.037187917	-0.066727101	-0.046487483	-0.047974747	-0.06944607	-0.070162138	-0.070288099	-0.062145334
CYP3A43	-0.235270716	-0.22260192	-0.276037728	-0.215323177	-0.223799151	-0.185542879	-0.210414127	-0.216949359	-0.200319688	-0.25068658	-0.243509465
CYP3A5	-0.143666031	-0.176119649	-0.143883976	-0.153532242	-0.161517589	-0.161930907	-0.171552118	-0.165749751	-0.208971279	-0.19259728	-0.17860749
CYP3A7	-0.237140568	-0.154416214	-0.18117715	-0.22454232	-0.19158016	-0.221130567	-0.223970966	-0.157062806	-0.235561954	-0.185766835	-0.194874735
CYP46A1	-0.195191	-0.219294922	-0.269247909	-0.281965916	-0.334462462	-0.204219088	-0.301973705	-0.145154988	-0.277076275	-0.306030607	-0.294290548
CYP4A11	-0.380555153	-0.324712962	-0.309535563	-0.397512525	-0.14849633	-0.399443567	-0.297134042	-0.311280549	-0.31365788	-0.393456429	-0.285788864
CYP4B1	-0.084176949	-0.120281152	-0.066398764	-0.085679544	-0.029092129	-0.122267867	-0.043978855	-0.086138946	-0.120810584	-0.17831439	-0.076493006
CYP4F11	0.623684438	0.722349443	0.448716219	0.636738864	0.637612526	0.716890211	0.647027442	0.658097336	0.521621688	0.533747184	0.672299297
CYP4F12	0.301561544	0.150350269	0.173266097	0.113212967	0.242462078	0.067570371	0.122468378	0.071207417	0.130479762	0.152578748	0.071564211
CYP4F2	-0.072109287	-0.029106469	-0.068095299	-0.084075836	-0.07132634	-0.078834569	-0.090475147	-0.085394183	-0.164281647	-0.107444033	-0.047462796
CYP4F8	-0.202025517	-0.222308869	-0.232811104	-0.33820924	-0.212164572	-0.207833672	-0.193964272	-0.123698092	-0.128930018	-0.1804671	-0.148210259
CYP51A1	1.47751085	1.50229454	1.309197227	1.683520873	1.432612101	1.37747701	1.748859644	1.200391491	1.763863643	1.504339775	1.479753574
CYP7A1	-0.225024362	-0.205277557	-0.224553431	-0.250333247	-0.233634381	-0.181226634	-0.280488951	-0.224293745	-0.259030579	-0.264443777	-0.258750928
CYP7B1	-0.140891572	-0.057372396	-0.107545108	-0.087016868	-0.05440193	-0.06772641	-0.109399365	-0.160329075	-0.119588586	-0.113770126	-0.126670526
CYR61	2.136572487	1.999862658	2.01202537	2.23062801	2.110576252	2.285915497	2.210520341	2.022670299	2.096951375	2.40584398	2.250603179
CYSLTR2	0.012633617	-0.116039105	-0.155024508	-0.047798728	-0.133393758	-0.082007139	-0.030658721	-0.134446783	-0.129659228	-0.10711919	-0.133890282
CYTH1	0.296002645	0.333703411	0.308924286	0.264475625	0.367912347	0.278168035	0.338707857	0.207135785	0.288278319	0.224996665	0.374959558
CYTH2	0.762257736	0.565895308	0.609608236	0.596414678	0.696375577	0.667112709	0.683190465	0.528778619	0.493202817	0.535351794	0.677770121
CYTH3	0.310834202	0.37471128	0.237771887	0.253295687	0.296648033	0.317055794	0.25701422	0.163397421	0.239618575	0.298312446	0.15636418
CYTH4	-0.171404103	-0.16541778	-0.155557506	-0.170688929	-0.123230108	-0.186736384	-0.109290723	-0.123871986	-0.168223616	-0.207434194	-0.157575661
CYTIP	-0.126671758	-0.19626054	-0.191104785	-0.191489444	-0.236581602	-0.194760169	-0.156802284	-0.169768585	-0.191203841	-0.217411336	-0.233545445
CYTL1	-0.191164006	-0.221246378	-0.24476864	-0.224662062	-0.291977103	-0.259340307	-0.22497184	-0.15818283	-0.165229793	-0.08798131	-0.148272697
D4S234E	0.281781675	0.357274039	0.151008661	0.112753172	0.209500082	0.129899332	0.285868145	0.284355542	0.26893185	0.117039873	0.2492311
DAAM1	1.114610523	1.311912944	1.24023256	1.266049875	1.331477788	1.126058539	1.19306711	1.243543219	1.246720735	1.261485224	1.467627572
DAAM2	-0.113158384	-0.196074467	-0.203389755	-0.161023461	-0.154147487	-0.164078822	-0.164104776	-0.185608859	-0.25238061	-0.297588393	-0.218735742
DAB1	-0.161812062	-0.153404525	-0.174375109	-0.169135213	-0.217815353	-0.164814519	-0.219812049	-0.233072014	-0.200096207	-0.220430188	-0.217932537
DAB2	0.705073265	0.710375725	0.713890425	0.640988351	0.699722823	0.627827482	0.645043692	0.596384849	0.649347226	0.60540865	0.769732363
DACH1	-0.190238625	-0.203548298	-0.23128958	-0.19975613	-0.163752246	-0.199086281	-0.167812256	-0.16975083	-0.175650411	-0.172863663	-0.201780893
DACT1	-0.199582096	-0.097896274	-0.148142706	-0.152650855	-0.195253205	-0.156112086	-0.110665786	-0.18185566	-0.226673747	-0.262447968	-0.199841075
DAD1	1.832512085	1.929435737	1.757046044	1.957463631	1.780347152	1.920600966	2.0943572	1.958927155	1.887973651	2.121467404	1.738541657
DAG1	1.042102912	1.013035109	0.940266671	0.944433735	0.994771288	0.91872328	0.883913266	0.847034846	0.908228117	0.927775011	0.963806964
DAGLA	-0.154623157	-0.174873024	-0.124102429	-0.157430783	-0.088053719	-0.114520516	-0.13629238	-0.140125609	-0.060487406	-0.129907843	-0.146286712
DAK	0.142558381	0.091515326	0.095404265	0.060191529	0.125865595	0.063420209	0.096191321	0.073157065	0.079439504	-0.011422937	0.123273452
DALRD3	0.769911295	0.850611215	0.809503681	0.648526411	0.815542648	0.825348645	0.792378863	0.734171364	0.743925798	0.65331673	0.819394516
DAO	-0.095138118	0.000781558	-0.102692428	-0.03920774	-0.104834747	-0.05982979	0.010489858	-0.069607376	-0.074796305	-0.111216886	-0.079285242
DAP	0.214840946	0.147899379	0.109448325	0.200094675	0.154539169	0.120695518	0.167146472	0.171162165	0.142245177	0.063786057	0.211937574
DAP3	1.254487008	1.093646228	1.197858264	1.250643593	1.207801354	1.153626594	1.179017832	1.406887129	1.391565323	1.456738581	1.383192271
DAPK1	0.533228929	0.489414686	0.591400039	0.575052859	0.536595059	0.573105719	0.523647254	0.408129088	0.488720355	0.408585768	0.51931464
DAPK2	0.09642461	0.059855518	0.069744695	0.104582572	0.080354329	0.037761255	0.03157396	-0.005838118	0.073641441	0.033886036	0.017880296
DAPK3	0.287481786	0.278894634	0.281905116	0.24264382	0.316236432	0.256487593	0.233154756	0.22840974	0.252769006	0.176812816	0.340401082
DAPP1	-0.027745669	-0.082717903	-0.165766308	-0.141059267	-0.126743041	-0.116460846	-0.055608955	-0.037676058	-0.094360394	-0.095748174	-0.122693474
DARC	-0.195794603	-0.195049429	-0.181037144	-0.217394091	-0.197687832	-0.184552789	-0.169409816	-0.201498314	-0.150146804	-0.203907881	-0.130796443
DARS	1.336983131	1.299661603	1.160127161	1.254828121	1.259722794	1.158307761	1.278118361	1.288923807	1.319289471	1.231498002	1.380881873
DARS2	0.325350681	0.356793802	0.193112588	0.155472244	0.263696232	0.322679648	0.239177057	0.288230544	0.278625065	0.217462782	0.220874922
DAXX	0.597865853	0.609525122	0.410324703	0.547196027	0.670891458	0.555419571	0.63556459	0.553487726	0.447832527	0.398820912	0.521340391
DAZAP1	1.030839586	0.95058171	1.012595803	1.083598508	1.134853899	0.809416023	1.009202517	0.811096208	0.900838451	0.909740104	1.113284164
DAZAP2	1.052937234	1.055965739	1.02684947	0.995077611	0.926020074	1.025880297	1.036685426	1.089694861	1.113706405	1.060130954	1.124417877
