	PI3K1	PI3K2	PI3K3	PI3K4	PI3K5	PI3K6	PI3K7	PI3K8
ATP6V1G1	1.889064688	2.013966976	1.982331525	1.958261196	1.875294275	1.919242186	1.714005049	1.856533703
ATP6V1G2	-0.131737655	-0.086018374	-0.079193148	-0.097280403	-0.107355374	-0.038348706	-0.175199335	-0.134184706
ATP6V1H	1.688976839	1.683868006	1.768792987	1.623501226	1.598709032	1.740620732	1.637767419	1.71193324
ATP7A	0.068883366	0.079903017	0.079417755	0.105010348	0.05191591	0.198291973	0.189398877	0.140429723
ATP7B	0.24379528	0.185060393	0.120593966	0.067017768	0.056631434	0.265720807	0.262332343	0.121795197
ATP8A1	-0.188083646	-0.168370501	-0.163693513	-0.17731354	-0.180701357	-0.174473846	-0.13444399	-0.184964122
ATP8A2	-0.169216404	-0.159306584	-0.232049823	-0.142536966	-0.124084865	-0.128241122	-0.183993066	-0.141184517
ATP8B2	0.081542765	0.057160147	0.018164833	0.049385405	0.079560784	0.102470777	0.086276723	0.047205983
ATP8B3	-0.129377215	-0.204466136	-0.180581584	-0.198151005	-0.202660367	-0.140736204	-0.166464831	-0.119980195
ATP8B4	-0.235328885	-0.218305333	-0.271151769	-0.166721091	-0.125474517	-0.177798229	-0.244948023	-0.182540444
ATP9A	0.916911036	0.795828024	0.870078469	0.736911479	0.978079305	0.865005456	0.9487287	0.964084023
ATP9B	0.096810651	0.090865261	0.057127082	0.057980932	0.069323885	0.153793778	0.139603577	0.117803553
ATPAF2	0.272820995	0.281041306	0.206405849	0.299580411	0.22895664	0.288133512	0.201758578	0.259819017
ATPIF1	1.789356407	1.704008778	1.714698835	1.821785827	1.652595932	1.6103884	1.643519162	1.755175011
ATR	0.566457151	0.653122391	0.493603747	0.452461406	0.513938925	0.736005576	0.61067719	0.608879468
ATRN	1.170589313	1.078401774	1.073035814	0.903313765	1.127665278	1.236727931	1.189501468	1.231430683
ATRNL1	-0.237315762	-0.210792924	-0.2003453	-0.178005596	-0.220195412	-0.206084151	-0.20403839	-0.198255629
ATRX	0.472083432	0.450980011	0.416819027	0.417493863	0.432741348	0.504096356	0.432083211	0.473393816
ATXN1	0.362855219	0.36071445	0.29484352	0.306178151	0.382534649	0.417993851	0.366487786	0.303810439
ATXN10	0.919708988	0.957679197	0.901668166	1.025953322	0.963631585	0.976402278	0.966534432	0.88779582
ATXN2	1.001777097	0.881533194	0.902297888	0.97256691	1.037276398	0.982345071	0.995925832	0.962445017
ATXN2L	0.144956088	0.100855206	0.134736191	0.046764901	0.068501871	0.118576583	0.103907142	0.072373013
ATXN3	0.160423002	0.234793736	0.213430894	0.257401495	0.208090105	0.21972696	0.131362018	0.17710586
ATXN3L	-0.274751684	-0.292008116	-0.244817037	-0.278907226	-0.208767986	-0.22611223	-0.234074977	-0.14736626
ATXN7	0.337814034	0.282440441	0.263057694	0.241080062	0.164980603	0.290371382	0.362706333	0.244433908
ATXN7L1	-0.244009555	-0.21360074	-0.241505086	-0.227471604	-0.189177644	-0.185017646	-0.282659652	-0.243893553
ATXN7L3B	0.89516151	1.006061892	0.884430585	0.97180797	0.900039193	1.03754971	0.947287941	0.879038232
ATXN8OS	-0.191058608	-0.175341778	-0.165423042	-0.144210989	-0.134053423	-0.139894982	-0.130899637	-0.178219207
AUH	0.792807486	0.825761047	0.777136986	0.749504073	0.740636251	0.835818885	0.817262794	0.811608326
AUP1	1.355695523	1.14224353	1.168481042	1.142574873	1.074686451	1.234307693	1.305797651	1.232931824
AURKA	0.526045746	0.47496409	0.424466564	0.540974442	0.476582885	0.470210295	0.561694981	0.465139059
AURKAIP1	1.475854986	1.385253794	1.38897913	1.468534865	1.403695576	1.402957849	1.292414062	1.350831173
AURKB	0.533237507	0.486564606	0.502380091	0.699007194	0.525420356	0.493270133	0.521104144	0.546438208
AURKC	0.213372227	0.206479882	0.329457911	0.208777821	0.175535794	0.246415042	0.303945893	0.215709303
AUTS2	1.319173657	1.173953213	1.220866412	1.122123126	1.227013722	1.163069315	1.295919325	1.208650716
AVEN	0.420677301	0.544009305	0.441495306	0.502455231	0.422546922	0.515430993	0.428750178	0.397495977
AVIL	-0.123694566	-0.085397278	-0.108210296	-0.122135602	-0.109343441	-0.102216352	-0.142403114	-0.077198894
AVL9	0.173863287	0.146050221	0.121725737	0.062580008	0.088432867	0.121457761	0.126561709	0.104331508
AVP	-0.150444853	-0.115340607	-0.16430067	-0.176465864	-0.177959791	-0.174939791	-0.121267968	-0.201260214
AVPI1	1.695005827	1.778842613	1.656729534	1.812782027	1.567205384	1.657310858	1.618129037	1.636722647
AVPR1A	-0.217621376	-0.173976776	-0.208385005	-0.177874191	-0.179836574	-0.202781357	-0.201552413	-0.186954869
AVPR1B	-0.040760621	-0.015851369	0.048107078	0.034988185	0.025813199	0.015466043	0.064151398	-0.01781032
AVPR2	-0.140215161	-0.108158427	-0.12036283	-0.10949508	-0.168530343	-0.119888809	-0.121367322	-0.125912972
AXIN1	0.366189854	0.345085611	0.315081294	0.361323168	0.340576517	0.345013159	0.309573195	0.284699969
AXL	0.984537841	0.897326333	0.920679213	0.847951777	0.892453077	1.02772286	1.072866433	1.021748811
AZGP1	1.965245429	2.043076747	1.964482754	1.92049351	2.013526258	2.005631775	2.082451546	2.142206155
AZI1	0.000386361	-0.013505346	-0.041107021	-0.019541475	-0.049527654	0.052761978	0.091420613	0.060618384
AZI2	0.439427533	0.440841286	0.447837626	0.43134648	0.382875347	0.414464865	0.32011142	0.339729547
AZIN1	1.725046251	1.787858643	1.629877921	1.711787384	1.562701231	1.737446502	1.671654137	1.672211852
AZU1	-0.294780711	-0.233823258	-0.208548823	-0.205211743	-0.251474695	-0.218980515	-0.270726683	-0.260003042
B2M	3.418595805	3.175508555	3.377032097	3.267699887	3.305788924	3.208007125	3.358593772	3.460567376
B3GALNT1	0.065796578	0.082349406	0.039316076	0.013854772	-0.028181099	0.114465181	0.065577637	0.044750606
B3GALT1	-0.164205096	-0.212346006	-0.183648554	-0.191863258	-0.206978109	-0.196134201	-0.143368052	-0.168757503
B3GALT2	-0.285411341	-0.238069187	-0.208672757	-0.163725043	-0.204148723	-0.23977131	-0.220496356	-0.209228298
B3GALT4	0.236771111	0.219786677	0.231727254	0.212978971	0.24545593	0.303758849	0.297920694	0.191216265
B3GALT5	-0.200738945	-0.214337914	-0.245265894	-0.209584042	-0.242733165	-0.201842418	-0.214166901	-0.215605252
B3GAT1	-0.261952793	-0.160199868	-0.221601217	-0.233429786	-0.196007864	-0.247365623	-0.200185262	-0.198357801
B3GAT3	0.509810224	0.466905101	0.367086032	0.431718614	0.376738689	0.568875436	0.539066477	0.489861471
B3GNT1	0.634720314	0.547572216	0.579767998	0.604167762	0.493267602	0.683761797	0.737897217	0.628072746
B3GNT2	0.796275596	0.936409243	0.823073718	0.871492859	0.684274101	1.032295139	0.995299373	0.916240483
B3GNT3	-0.020334592	-0.041885917	-0.032579923	-0.062948612	-0.058855036	-0.058147348	0.014224107	0.044311104
B3GNT4	0.040017999	0.148923514	0.054426046	0.032584814	0.03312738	0.209043544	0.114208072	0.090793733
B3GNTL1	-0.027325581	-0.023050083	-0.055567756	0.015755746	-0.076114077	-0.030523784	-0.067734273	-0.116220968
B4GALNT1	-0.051889519	-0.061767939	-0.030582627	-0.098055019	-0.062952117	-0.010009595	-0.061646206	-0.075129087
B4GALT1	0.341427504	0.410555438	0.273225236	0.373528579	0.203396323	0.551604499	0.417169523	0.416029901
B4GALT2	0.380830451	0.434980863	0.434561508	0.392398648	0.358444014	0.404694269	0.353862647	0.394585471
B4GALT3	0.772001147	0.819612937	0.789477719	0.778054524	0.75043877	0.955208609	0.906271765	0.885943532
B4GALT4	0.530227583	0.492615502	0.491805264	0.421827869	0.395974306	0.598874649	0.543896457	0.526121618
B4GALT5	0.983204212	0.879504501	0.814274304	0.840784577	0.863816709	1.018521703	1.02384052	0.974703294
B4GALT6	-0.030428357	-0.023200456	-0.074463887	-0.023838467	-0.075382387	0.024148735	-0.026703002	-0.028236594
B4GALT7	0.410082079	0.481147557	0.399043065	0.431170327	0.296467641	0.476305844	0.472990281	0.501040027
B9D1	0.184621615	0.281636698	0.250932531	0.269321513	0.201493557	0.223085143	0.219128515	0.197967712
B9D2	-0.14854922	-0.15822684	-0.118267278	-0.010410956	-0.151482892	-0.040392512	-0.050931458	-0.068256609
BAALC	-0.161594911	-0.168654346	-0.121433678	-0.195221946	-0.228414526	-0.140211126	-0.206043513	-0.182226995
BAAT	-0.04230405	-0.038783422	-0.035382015	-0.024974287	-0.028135592	-0.023615707	0.035361225	0.041842329
BABAM1	0.710267321	0.712512682	0.682376001	0.762169201	0.573385111	0.704094846	0.616896035	0.592895802
BACE1	0.43026597	0.570197112	0.571263487	0.551205271	0.615066538	0.608666516	0.555409374	0.655174489
BACE2	1.706717193	1.711430139	1.667737616	1.67030559	1.691162335	1.815527492	1.744168845	1.747244947
BACH1	0.261682062	0.337080296	0.264205737	0.249201829	0.180761005	0.350067213	0.349049355	0.238870472
BACH2	0.033344467	0.014759665	0.011581657	0.039431057	0.100377119	0.101975131	0.111360088	0.032564128
BAD	0.520668063	0.568464951	0.479790573	0.607342037	0.520001513	0.521940895	0.38491852	0.473712733
BAG1	0.572327136	0.650932097	0.598390543	0.689843119	0.604709636	0.593726372	0.50467414	0.530512153
BAG2	0.204085838	0.318106677	0.153230885	0.297399931	0.110309442	0.350873766	0.185724909	0.189228625
BAG3	1.413260019	1.417748173	1.388407465	1.449016074	1.367705574	1.354119854	1.533511968	1.338541584
BAG4	0.070329025	-0.058528177	0.255729258	0.051240724	0.124375626	0.434004277	-0.163650349	0.181610599
BAG5	0.816531991	0.900436223	0.784160014	0.861221196	0.789516495	0.941391413	0.726603437	0.737359319
BAG6	1.519415312	1.573913753	1.493008567	1.555088322	1.626812897	1.533127651	1.530587332	1.516238678
BAHCC1	-0.055549356	-0.041819065	-0.057964425	-0.080555265	-0.060485989	-0.009669907	-0.089508878	-0.082235231
BAHD1	0.166683562	0.135320684	0.090967934	0.135090219	0.170769719	0.169444816	0.163726349	0.138947559
BAI1	-0.003385113	-0.049746931	0.043418017	-0.049685921	0.01363951	-0.00794212	-0.022509466	-0.045435691
BAI2	-0.087475541	-0.105512722	-0.053847548	-0.063525894	-0.088337705	-0.073940052	-0.022800745	-0.096737995
BAI3	-0.222468249	-0.226029184	-0.17457911	-0.183251924	-0.207352567	-0.215368578	-0.251666474	-0.257318556
BAIAP2	0.171694336	0.136621062	0.140710427	0.140431163	0.100475655	0.175076898	0.165596247	0.13291306
BAIAP3	0.067430066	-0.065882345	-0.074473467	-0.082661513	-0.081465947	-0.071606323	-0.07388791	-0.126983393
BAMBI	0.678723504	0.812760929	0.682729969	0.684658344	0.678616431	0.758412851	0.688356668	0.755039632
BANF1	1.97917827	2.233133555	2.17145443	2.283952395	2.264238199	2.076205611	1.93345662	2.060446302
BANK1	-0.181580572	-0.125738264	-0.096507427	-0.137290346	-0.160482747	-0.101167329	-0.138474909	-0.158018922
BANP	0.155770909	0.216253553	0.153619555	0.190607183	0.167468876	0.306580011	0.088976993	0.109168515
BAP1	0.35889759	0.346317108	0.356545509	0.417208764	0.441954713	0.379512633	0.327746029	0.288383831
BARD1	0.875972062	1.060872585	1.014476415	0.916566107	1.010622154	0.968064035	0.945928075	0.950897869
BARX1	-0.199906037	-0.118782655	-0.145281705	-0.092523265	-0.102228436	-0.068628808	-0.114827001	-0.044854694
BARX2	-0.155187833	-0.12448757	-0.074056208	-0.195006013	-0.164523149	-0.173497392	-0.099241316	-0.101221477
BASP1	1.664687298	1.738167904	1.696303055	1.855555877	1.757203564	1.697007343	1.580779694	1.642971232
BATF	0.024999467	-0.043961869	0.030700008	-0.029433331	-0.100925904	-0.081396744	-0.088492432	-0.06794996
BATF3	0.012193767	-0.005636997	-0.036930391	0.057064925	-0.056479195	0.06504569	-0.004038592	0.039397071
BAX	0.646380953	0.661259212	0.55607727	0.669533196	0.435599281	0.658478507	0.554167904	0.682021223
BAZ1A	1.028691161	0.955225182	0.925627352	0.836871449	0.825738869	1.083193256	0.990128442	0.994977852
BAZ1B	0.745724618	0.770243674	0.610025764	0.648777128	0.679397956	0.683205217	0.614873514	0.698557824
BAZ2A	0.325353179	0.29705357	0.313294053	0.2663157	0.326301726	0.294408169	0.344990132	0.267662822
BAZ2B	0.711838962	0.692698487	0.590181293	0.586167654	0.611619935	0.68687686	0.839804628	0.624763721
BBC3	0.682601141	0.555896742	0.596919955	0.536023411	0.485599995	0.528015566	0.426669482	0.584725309
BBIP1	0.508078064	0.53686413	0.441335846	0.569576321	0.423110408	0.467664548	0.485528073	0.494498425
BBOX1	1.181917608	1.315229952	1.162331416	1.191025528	1.2237081	1.185816142	1.289137019	1.198015782
BBS1	0.571265943	0.653084651	0.557218425	0.582173802	0.621747004	0.629187498	0.549076589	0.582824416
BBS10	0.351772246	0.343554931	0.274731822	0.206055982	0.26136316	0.426119534	0.368513467	0.330757086
BBS4	0.218938312	0.288785058	0.212257186	0.259297529	0.200160399	0.275970347	0.280668501	0.236090203
BBS7	0.274333181	0.207546621	0.246508355	0.289576908	0.200903328	0.233294142	0.236625252	0.207201302
BBS9	0.128189715	0.13461755	0.100799344	0.137884833	0.10591078	0.142472186	0.131528956	0.09062485
BBX	1.072686265	1.086785754	1.073247507	1.030902286	1.107837324	1.131273379	1.018305125	1.022662285
BCAM	1.300615701	1.235969851	1.250002173	1.18836413	1.198035805	1.387501978	1.442225858	1.40760548
BCAN	-0.149511937	-0.11825175	-0.141137278	-0.159046236	-0.131776314	-0.1494244	-0.174348103	-0.171904998
BCAP29	1.276476288	1.347284336	1.207640247	1.30746549	1.064650637	1.446002981	1.343872571	1.387753428
BCAP31	2.382974545	2.459889014	2.401014328	2.514282227	2.555734634	2.515437126	2.082631151	2.596235673
BCAR3	1.178092624	1.183928891	1.087335655	1.176249811	1.060123062	1.183402192	1.123396857	1.090957458
BCAS1	-0.079551968	-0.005425104	-0.017779843	0.046131736	0.026135328	-0.076046087	-0.053825658	-0.030308003
BCAS2	1.143468766	1.291161545	1.10724879	1.317998931	1.157179596	1.144946145	0.980754853	1.031575963
BCAS3	0.188487875	0.214259466	0.220608645	0.240280424	0.249657774	0.283811086	0.290119717	0.222647386
BCAS4	0.201383475	0.192982662	0.148908893	0.238757842	0.127106531	0.259834687	0.150492671	0.113059429
BCAT1	-0.111570934	-0.048462809	-0.097960704	-0.071768225	-0.141801597	-0.095037931	-0.120784391	-0.118979379
BCAT2	0.848911983	0.856617589	0.887421341	1.004672824	0.887095211	0.820822873	0.814912468	0.836263277
BCCIP	0.295124774	0.362136227	0.283157018	0.352837473	0.230008397	0.299865139	0.25955277	0.238831541
BCHE	-0.275395232	-0.228240343	-0.259697422	-0.254883305	-0.261191982	-0.251129828	-0.278629136	-0.262534899
BCKDHA	0.749623749	0.860542915	0.790783498	0.834191016	0.758885199	0.855140725	0.799638763	0.867838584
BCKDHB	0.28254694	0.272028494	0.250609783	0.252939331	0.161981273	0.238461268	0.232328854	0.230504986
BCKDK	0.48612101	0.566896619	0.520252409	0.485096358	0.540356558	0.555944729	0.440244816	0.491345153
BCL10	0.902109274	0.905888597	0.756600758	0.865293872	0.728356943	1.004326353	0.786630017	0.738885143
BCL11A	0.314607034	0.328413807	0.282535372	0.286184912	0.299808829	0.345782088	0.344500809	0.352310137
BCL11B	0.21321597	0.158734426	0.118079383	0.156365032	0.057761884	0.198175665	0.139008222	0.184277354
BCL2	-0.136769149	-0.105872869	-0.106093122	-0.095229383	-0.094923985	-0.114581428	-0.0897299	-0.115540976
BCL2A1	-0.081833302	-0.077853933	-0.128116492	-0.054975003	-0.099337054	-0.155097562	-0.114539732	-0.052052477
BCL2L1	1.011897903	0.936198758	0.857786085	0.935741009	0.816034183	0.985863966	0.956853336	0.918880394
BCL2L10	-0.183439157	-0.105077976	-0.139344681	-0.084566967	-0.100695276	-0.071719498	-0.054324457	-0.100685949
BCL2L11	0.029386772	0.063016517	-0.04870873	0.012525537	0.014443126	0.04165783	-0.009501679	0.028919982
BCL2L13	0.682026187	0.734724512	0.560048172	0.685758899	0.616027003	0.732699269	0.574797607	0.578075684
BCL2L14	-0.154564506	-0.200310796	-0.157075774	-0.106802403	-0.124377771	-0.176124474	-0.12163912	-0.152451931
BCL2L2	0.84103054	0.864408223	0.72013052	0.769635292	0.808515949	0.862027216	0.738877345	0.74593841
BCL3	0.339853165	0.28776831	0.268390465	0.351035578	0.311319081	0.274845273	0.322511157	0.295095284
BCL6	0.7468683	0.609591448	0.597448572	0.614455231	0.619927758	0.719987935	0.881642242	0.669384196
BCL7A	0.386511077	0.436401286	0.360956476	0.37569581	0.28528211	0.462017775	0.402291706	0.353270388
BCL7B	0.534870654	0.655246723	0.549957083	0.61861347	0.564052489	0.63792984	0.445520661	0.497735179
BCL7C	0.436084527	0.439788714	0.319705149	0.438229111	0.371171827	0.491238003	0.488146514	0.380363027
BCL9	0.272567545	0.284356211	0.304968786	0.220068613	0.287753956	0.309523634	0.285168928	0.245751575
BCLAF1	1.346939778	1.399309138	1.308173207	1.252055901	1.159216322	1.427314138	1.308716116	1.264057968
BCMO1	-0.162076994	-0.192300958	-0.131601718	-0.137752429	-0.150121139	-0.076762774	-0.144374674	-0.224090664
BCOR	0.186907371	0.205425836	0.187232546	0.178674036	0.181712935	0.23655868	0.192466895	0.144821643
BCORL1	0.131297721	0.144465248	0.151896648	0.089594753	0.120588437	0.22617453	0.066031958	0.141701417
BCR	0.952311993	0.967133204	1.014917374	0.995869478	1.009492139	0.940141916	0.883097907	0.968799353
BCS1L	0.961416259	0.956858292	0.834033474	0.943386346	0.961224709	1.024707757	0.91653223	0.852783285
BDH1	0.321419602	0.328582484	0.30236827	0.308875761	0.299728722	0.330636306	0.267262493	0.250992527
BDH2	0.981941302	0.985533714	0.854170283	1.075039844	1.043957849	0.95576785	0.730691214	0.854017516
BDKRB1	-0.031714886	-0.024984975	-0.064457891	-0.042482346	-0.022512079	-0.005549334	0.044211343	-0.046134497
BDKRB2	0.278675635	0.150806134	0.140674377	0.166039987	0.159124032	0.201953519	0.181379476	0.190326512
BDNF	-0.019431928	-0.04529004	-0.141267997	-0.029185839	-0.14634471	-0.0646965	-0.072358066	-0.082413933
BEAN1	-0.087277935	-0.116463878	-0.063858137	-0.083935681	-0.069961973	-0.149319351	-0.155808084	-0.012491057
BECN1	0.859849984	1.02478819	0.913775158	0.952164594	0.840373437	0.925894479	0.889723143	0.826118451
BEGAIN	-0.05886717	-0.098746543	-0.165485439	-0.104304478	-0.028609726	-0.071737883	-0.016973015	-0.090874192
BEND5	-0.193191096	-0.111809574	-0.173260826	-0.160669495	-0.163622008	-0.150326085	-0.207959985	-0.191463563
BEST1	-0.002453268	-0.096526774	-0.005525809	-0.116901751	-0.150257954	-0.105094477	-0.038109334	-0.010743192
BEST2	-0.152548198	-0.094997465	-0.108992409	-0.153138283	-0.10408263	-0.076342269	-0.070996628	-0.094362224
BET1	1.051659886	1.231680386	1.038311623	1.139527291	0.990081701	1.179890588	1.07910214	0.978741646
BET1L	-0.014635085	-0.006097475	-0.030045294	0.074242399	-0.051658832	0.014735192	0.008232151	-0.073470462
BEX1	0.023297799	0.006966169	0.017577121	-0.000346073	0.012867092	0.046255262	0.105828521	0.033330334
BEX4	0.562773587	0.639382859	0.568425259	0.57513803	0.578210991	0.524048438	0.495209451	0.59161107
BFAR	1.063248608	1.065781193	1.034870307	0.995617916	0.965401255	1.189095785	1.114763065	1.041769369
BFSP1	0.038522491	0.036021274	0.130310629	0.069021356	-0.001132053	0.021226354	0.066008314	0.06835227
BFSP2	-0.137770127	-0.131696768	-0.134592598	-0.129390569	-0.107187121	-0.182785923	-0.132344806	-0.170570162
BGLAP	-0.138856574	-0.051695037	-0.04709348	-0.016536493	-0.042773078	-0.086290123	-0.144327747	-0.140973192
BGN	-0.001948962	-0.031489841	-0.084278633	-0.023297047	-0.096331978	-0.057555472	-0.011786533	-0.05912143
BHLHB9	-0.053149895	0.00319458	-0.064581561	-0.045986508	-0.06833142	-0.003837136	-0.027112249	-0.093600625
BHLHE40	1.828352498	1.720429381	1.717360894	1.807957676	1.68372791	1.740203718	1.823604928	1.735635827
BHLHE41	0.626274849	0.764464537	0.702034084	0.686714061	0.729490582	0.711423533	0.672398961	0.584290899
BHMT	-0.181585598	-0.151186981	-0.19888069	-0.178727144	-0.225606679	-0.134909924	-0.178473483	-0.208170221
BHMT2	-0.178068204	-0.15408501	-0.165601964	-0.169672518	-0.132266117	-0.18746399	-0.196979286	-0.177481222
BICC1	0.121220958	0.02382396	0.011780621	-0.043028583	0.000907706	-0.036158751	-0.072374255	-0.099685866
BICD1	0.253216052	0.263124406	0.267868512	0.216351569	0.190893502	0.294313738	0.322852727	0.169516714
BICD2	0.8128788	0.756522147	0.69903644	0.719902877	0.643405571	0.879368543	0.880013756	0.763696275
BID	0.861683312	1.032619255	0.861876895	0.952394666	0.871878854	0.91599502	0.787683624	0.850428511
BIK	0.211161024	0.286021735	0.216387094	0.316337663	0.311765175	0.279877367	0.255559225	0.211054104
BIN1	0.002398715	0.047402756	0.032306601	0.038641707	0.011457262	0.033820021	-0.007469901	-0.026622265
BIN2	-0.213357634	-0.180988832	-0.164655663	-0.169064445	-0.287891848	-0.181345723	-0.158808786	-0.194814388
BIN3	0.607665469	0.580519227	0.570085922	0.563281895	0.545554527	0.544095005	0.625451647	0.585926399
BIRC2	1.514324182	1.615606109	1.445207662	1.589682519	1.483376768	1.564080768	1.599900603	1.46859879
BIRC3	-0.002498987	0.085220029	0.024359001	0.045276003	0.079642774	0.042881494	-0.010388237	0.02248572
BIRC5	0.186192359	0.203366873	0.147600587	0.192403433	0.145090051	0.125844263	0.146805809	0.127981246
BIRC7	-0.047477808	-0.043892787	-0.062526622	-0.098841473	-0.038676462	-0.039779677	-0.045514625	-0.018094168
BLCAP	1.703335649	1.817866206	1.647891826	1.790354225	1.782774746	1.879066692	1.769295182	1.75704356
BLK	-0.23085963	-0.200887947	-0.197068098	-0.145148122	-0.219957549	-0.177671196	-0.22474552	-0.206173045
BLM	0.123505166	0.152348581	0.105689344	0.131163458	0.063847359	0.082974125	0.125654667	0.05178169
BLMH	0.241468704	0.246643563	0.23214947	0.227733506	0.241298777	0.220976727	0.132404879	0.252790409
BLNK	0.10683606	0.011848495	0.00089668	0.014444174	0.052860486	0.041763477	0.06009415	0.01883829
BLOC1S1	0.718564898	0.726498101	0.612976439	0.823376618	0.728670877	0.612206725	0.578804979	0.659114163
BLVRA	0.658237152	0.738879295	0.651340454	0.720388723	0.714590715	0.719842307	0.593007118	0.64759234
BLVRB	2.078035206	2.067832597	2.053082623	2.208629794	2.030681923	1.970109321	2.055023782	2.079050861
BMP1	0.856210351	0.785627715	0.817593871	0.72640074	0.762025843	0.868158357	0.9308142	0.845319148
BMP10	-0.14646386	-0.182277981	-0.186619164	-0.128031752	-0.139645667	-0.139460563	-0.135463225	-0.09703567
BMP15	0.025199677	0.024598107	-0.025843417	-0.024765107	-0.119479363	-0.053757231	0.031700672	-0.074952508
BMP2	0.441761732	0.483024991	0.422521512	0.401180365	0.456099509	0.618415541	0.484587367	0.480297664
BMP2K	-0.036445822	-0.010457269	-0.045214108	-0.023668803	-0.018547934	0.057204503	-0.017188631	-0.013246692
BMP3	-0.202028302	-0.179748696	-0.180224862	-0.152965609	-0.176827056	-0.18748616	-0.211965757	-0.244395572
BMP4	-0.118348971	-0.121167536	-0.120739257	-0.100069351	-0.127931213	-0.125251259	-0.116247005	-0.101899123
BMP5	-0.083839927	-0.063178494	-0.099301108	-0.089480847	-0.135198808	-0.053610542	-0.085360647	-0.040039397
BMP6	0.242501375	0.229540926	0.141310424	0.170086176	0.142504699	0.323873915	0.139905881	0.206088511
BMP7	-0.112596966	-0.100875325	-0.124230166	-0.131413637	-0.107351407	-0.145829818	-0.122251594	-0.09977017
BMP8A	-0.168187811	-0.124101175	-0.084649781	-0.111277134	-0.108222733	-0.077703953	-0.120681434	-0.113067396
BMP8B	-0.18496753	-0.12667641	-0.149059812	-0.182013414	-0.186270557	-0.079688457	-0.144524002	-0.21858529
BMPR1A	0.675265342	0.709015399	0.652567596	0.583791077	0.617671132	0.832875699	0.715106815	0.78349179
BMPR1B	0.082837568	0.154348549	0.07668217	0.056191909	-0.025045924	0.169203498	0.1011269	0.055408247
BMPR2	0.582571583	0.504531244	0.519473761	0.508916007	0.461237886	0.669591769	0.593399637	0.593813428
BMS1	0.547223106	0.620485761	0.524841919	0.554337803	0.599004289	0.652138811	0.595091224	0.580379583
BMX	-0.203524936	-0.174152604	-0.142225093	-0.189487671	-0.229345075	-0.145979012	-0.1292615	-0.150202069
BNC1	1.246756829	1.313627454	1.244548938	1.24998928	1.098760995	1.317358014	1.294970388	1.073441923
BNC2	-0.09647552	-0.109008993	-0.123948648	-0.106929605	-0.103398291	-0.134636699	-0.073692998	-0.085098843
BNIP1	0.172547818	0.233908345	0.201684343	0.222787156	0.153243424	0.178778943	0.156072029	0.177473157
BNIP2	0.769871267	0.74126525	0.713024106	0.669221971	0.58706351	0.853063885	0.803041766	0.730958209
BNIP3	0.673599529	0.811063881	0.667698946	0.739180138	0.603469838	0.693589899	0.578295399	0.596142182
BNIP3L	1.428923766	1.576968976	1.412715552	1.565478806	1.463149948	1.42431864	1.2499503	1.416188457
BOLA1	0.505968545	0.552277131	0.394700963	0.524014774	0.439118992	0.534887591	0.400275985	0.486119788
BPESC1	-0.240541024	-0.226885229	-0.269166102	-0.208050274	-0.259966785	-0.219123194	-0.224459673	-0.291229043
BPGM	0.884545609	1.04553093	0.794149902	0.877152871	0.757225467	0.878594138	0.73882585	0.863380235
BPHL	0.289590221	0.362311341	0.233724175	0.368160349	0.292821381	0.31032891	0.269192078	0.310297069
BPI	-0.20652782	-0.160048287	-0.205322151	-0.180514176	-0.183009166	-0.212199033	-0.188955848	-0.128560815
BPTF	0.872610586	0.845976251	0.807159538	0.767187996	0.812970547	0.922959673	0.879937308	0.886805117
BRAF	0.149476998	0.233827075	0.177795832	0.198061216	0.187500197	0.159240937	0.108546667	0.326766685
BRAP	0.302408201	0.361044549	0.266945865	0.285118827	0.234706774	0.346296882	0.271759657	0.278789383
BRCA1	0.119141457	0.089190872	0.098060736	0.11222164	0.172048399	0.126057604	0.067977481	0.07938756
BRCA2	0.05589978	0.093599658	0.02841651	0.017285607	0.061247381	0.038372663	0.083936437	0.015162311
BRCC3	0.259054184	0.408992007	0.213727642	0.324011721	0.201939434	0.294276908	0.271788284	0.333264947
BRD1	0.641326491	0.710218541	0.708374402	0.595512175	0.671660243	0.706032337	0.670011908	0.63567182
BRD2	2.40150053	2.453052793	2.479762464	2.484970393	2.587560129	2.421034312	2.28529973	2.328398972
BRD3	0.836805524	0.89541799	0.857706305	0.858143541	0.925957972	0.882283762	0.881972432	0.871434774
BRD4	0.828881077	0.823366996	0.782499712	0.834197237	0.908101117	0.865851603	0.766868738	0.802207406
BRD7P3	-0.075453091	-0.101215663	-0.069842964	-0.100850267	-0.086990232	-0.073765766	-0.042092499	-0.090860785
BRD8	0.227344125	0.282100423	0.213142115	0.260201659	0.298430727	0.298960154	0.250009474	0.241324425
BRD9	0.481211995	0.55976055	0.52553013	0.422932474	0.471933779	0.511035965	0.524850856	0.411281019
BRDT	-0.183920679	-0.19452939	-0.221049333	-0.123619049	-0.176087214	-0.124843281	-0.164286574	-0.188584834
BRE	0.484044551	0.558187919	0.444015414	0.539154556	0.498506705	0.507219725	0.451866052	0.430016412
BRF1	0.052767641	0.07028293	0.014021185	0.039702912	0.0094364	0.038087573	0.054734688	0.046397029
BRF2	0.186510895	0.284587711	0.230055389	0.287059873	0.206466512	0.328153888	0.221012368	0.216412128
